Gene_Name,ENSEMBLID,Name_HUMAN,Drug_Name,Affinity,Class
FYN,ENSP00000346671,FYN_HUMAN,tozasertib,5.762216416,0
CAMK1,ENSP00000256460,KCC1A_HUMAN,sunitinib,5.762149213,0
DDR2,ENSP00000356899,DDR2_HUMAN,sunitinib,5.76112254,0
TSSK1B,ENSP00000375081,TSSK1_HUMAN,nilotinib,5.760172632000001,0
IKBKE,ENSP00000464030,IKKE_HUMAN,ruxolitinib,5.759894379,0
FLT3,ENSP00000241453,FLT3_HUMAN,erlotinib,5.75971342,0
MST1R,ENSP00000296474,RON_HUMAN,tozasertib,5.759710714,0
LIMK1,ENSP00000336740,LIMK1_HUMAN,tozasertib,5.75907606,0
PKN1,ENSP00000343325,PKN1_HUMAN,tozasertib,5.757862745,0
GSK3B,ENSP00000324806,GSK3B_HUMAN,alvocidib,5.75778476,0
WEE1,ENSP00000402084,WEE1_HUMAN,sunitinib,5.757116861,0
MAP3K9,ENSP00000451263,M3K9_HUMAN,axitinib,5.756159885,0
TEK,ENSP00000369375,TIE2_HUMAN,barasertib,5.756022899,0
KIT,ENSP00000288135,KIT_HUMAN,bosutinib,5.754720355,0
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,sorafenib,5.753624352999999,0
LIMK1,ENSP00000336740,LIMK1_HUMAN,torin1,5.753327667000001,0
TNIK,ENSP00000399511,TNIK_HUMAN,vemurafenib,5.753327667000001,0
CLK2,ENSP00000357345,CLK2_HUMAN,torin2,5.753327667000001,0
IRAK1,ENSP00000358997,IRAK1_HUMAN,bosutinib,5.751709121,0
TAOK1,ENSP00000261716,TAOK1_HUMAN,sunitinib,5.750905192,0
STK33,ENSP00000416750,STK33_HUMAN,vandetanib,5.750846937,0
ROCK2,ENSP00000317985,ROCK2_HUMAN,linifanib,5.749814727,0
MAP3K4,ENSP00000375986,M3K4_HUMAN,staurosporine,5.748516212,0
LYN,ENSP00000428924,LYN_HUMAN,imatinib,5.748375693,0
STK39,ENSP00000348278,STK39_HUMAN,dovitinib,5.748329935,0
BLK,ENSP00000259089,BLK_HUMAN,gefitinib,5.747029015,0
TAOK1,ENSP00000261716,TAOK1_HUMAN,linifanib,5.746910013,0
STK17B,ENSP00000263955,ST17B_HUMAN,dovitinib,5.744727495,0
MAK,ENSP00000346484,MAK_HUMAN,foretinib,5.744727495,0
STK32A,ENSP00000381535,ST32A_HUMAN,bosutinib,5.744727495,0
MAP2K4,ENSP00000410402,MP2K4_HUMAN,ruxolitinib,5.744727495,0
MAP4K1,ENSP00000465039,M4K1_HUMAN,enzastaurin,5.744727495,0
CIT,ENSP00000376306,CTRO_HUMAN,vandetanib,5.744727495,0
ROCK2,ENSP00000317985,ROCK2_HUMAN,foretinib,5.744727495,0
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,enzastaurin,5.744727495,0
BMPR1B,ENSP00000401907,BMR1B_HUMAN,ruxolitinib,5.744727495,0
STK38L,ENSP00000373684,ST38L_HUMAN,sunitinib,5.743283414,0
BRSK1,ENSP00000310649,BRSK1_HUMAN,dovitinib,5.742513229,0
AURKA,ENSP00000216911,AURKA_HUMAN,sunitinib,5.741170881,0
TSSK1B,ENSP00000375081,TSSK1_HUMAN,dovitinib,5.740956292999999,0
LIMK1,ENSP00000336740,LIMK1_HUMAN,tivozanib,5.740404776,0
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,cediranib,5.738543925,0
LIMK1,ENSP00000336740,LIMK1_HUMAN,sorafenib,5.73821847,0
NEK6,ENSP00000362702,NEK6_HUMAN,dovitinib,5.737821179,0
LYN,ENSP00000428924,LYN_HUMAN,barasertib,5.737317847000001,0
TEK,ENSP00000369375,TIE2_HUMAN,axitinib,5.736159111,0
MATK,ENSP00000378485,MATK_HUMAN,tozasertib,5.73473523,0
SLK,ENSP00000358770,SLK_HUMAN,sorafenib,5.733317161,0
AAK1,ENSP00000386456,AAK1_HUMAN,erlotinib,5.7327282770000005,0
LTK,ENSP00000263800,LTK_HUMAN,cediranib,5.732415637000001,0
CLK1,ENSP00000394734,CLK1_HUMAN,alvocidib,5.732226492000001,0
STK16,ENSP00000386928,STK16_HUMAN,dovitinib,5.730032145,0
SRPK3,ENSP00000359119,SRPK3_HUMAN,staurosporine,5.729766312000001,0
MAP3K1,ENSP00000382423,M3K1_HUMAN,staurosporine,5.727965977999999,0
AURKA,ENSP00000216911,AURKA_HUMAN,nilotinib,5.727735075,0
WNK2,ENSP00000297954,WNK2_HUMAN,cediranib,5.72702015,0
DMPK,ENSP00000345997,DMPK_HUMAN,bosutinib,5.726095272,0
RIPK2,ENSP00000220751,RIPK2_HUMAN,barasertib,5.726028054,0
MATK,ENSP00000378485,MATK_HUMAN,dasatinib,5.724742835,0
ZAP70,ENSP00000264972,ZAP70_HUMAN,cediranib,5.724739858,0
LIMK2,ENSP00000339916,LIMK2_HUMAN,tozasertib,5.724069143,0
RIPK2,ENSP00000220751,RIPK2_HUMAN,sorafenib,5.723417907000001,0
EPHA7,ENSP00000358309,EPHA7_HUMAN,sorafenib,5.723044014,0
CLK2,ENSP00000357345,CLK2_HUMAN,alvocidib,5.723008867999999,0
BMPR1B,ENSP00000401907,BMR1B_HUMAN,crizotinib,5.722003468,0
NUAK1,ENSP00000261402,NUAK1_HUMAN,saracatinib,5.721246399,0
MAP3K2,ENSP00000387246,M3K2_HUMAN,foretinib,5.721246399,0
MYO3A,ENSP00000265944,MYO3A_HUMAN,axitinib,5.721246399,0
STK39,ENSP00000348278,STK39_HUMAN,ruxolitinib,5.721246399,0
CAMKK2,ENSP00000312741,KKCC2_HUMAN,saracatinib,5.721246399,0
SIK1,ENSP00000270162,SIK1_HUMAN,vandetanib,5.721246399,0
MAP3K4,ENSP00000375986,M3K4_HUMAN,foretinib,5.721246399,0
MAP2K1,ENSP00000302486,MP2K1_HUMAN,ruxolitinib,5.721246399,0
ACVR1,ENSP00000263640,ACVR1_HUMAN,alvocidib,5.721246399,0
MARK4,ENSP00000262891,MARK4_HUMAN,saracatinib,5.721246399,0
STK3,ENSP00000429744,STK3_HUMAN,enzastaurin,5.721246399,0
CSF1R,ENSP00000286301,CSF1R_HUMAN,brivanib,5.721246399,0
SGK3,ENSP00000379842,SGK3_HUMAN,linifanib,5.721246399,0
LYN,ENSP00000428924,LYN_HUMAN,vemurafenib,5.720159302999999,0
STK10,ENSP00000176763,STK10_HUMAN,vemurafenib,5.720159302999999,0
FRK,ENSP00000476145,FRK_HUMAN,vemurafenib,5.720159302999999,0
MATK,ENSP00000378485,MATK_HUMAN,nilotinib,5.720110397000001,0
RIPK2,ENSP00000220751,RIPK2_HUMAN,staurosporine,5.719927533,0
SIK2,ENSP00000305976,SIK2_HUMAN,tozasertib,5.719368492,0
AURKC,ENSP00000302898,AURKC_HUMAN,erlotinib,5.7176548239999985,0
DYRK2,ENSP00000342105,DYRK2_HUMAN,erlotinib,5.717214946,0
MAPK11,ENSP00000333685,MK11_HUMAN,linifanib,5.715899137999999,0
CSK,ENSP00000220003,CSK_HUMAN,vandetanib,5.714918524,0
ACVR1B,ENSP00000442656,ACV1B_HUMAN,dasatinib,5.713022574,0
PTK2,ENSP00000341189,FAK1_HUMAN,bosutinib,5.7121769570000005,0
ALK,ENSP00000373700,ALK_HUMAN,ruxolitinib,5.711439372999999,0
CSNK1G3,ENSP00000353904,KC1G3_HUMAN,fascaplysin,5.706132961000002,0
NEK1,ENSP00000424757,NEK1_HUMAN,fascaplysin,5.704803638,0
ROCK2,ENSP00000317985,ROCK2_HUMAN,axitinib,5.703166467999999,0
BLK,ENSP00000259089,BLK_HUMAN,axitinib,5.70270337,0
RAF1,ENSP00000251849,RAF1_HUMAN,imatinib,5.702621091,0
FLT3,ENSP00000241453,FLT3_HUMAN,tivozanib,5.701203643,0
TAOK1,ENSP00000261716,TAOK1_HUMAN,sorafenib,5.700929901,0
CDK15,ENSP00000406472,CDK15_HUMAN,sorafenib,5.700578672000001,0
MAP4K2,ENSP00000294066,M4K2_HUMAN,ruxolitinib,5.698970004,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,ruxolitinib,5.698970004,0
MAP4K3,ENSP00000263881,M4K3_HUMAN,cediranib,5.698970004,0
DYRK2,ENSP00000342105,DYRK2_HUMAN,foretinib,5.698970004,0
GRK5,ENSP00000376609,GRK5_HUMAN,ruxolitinib,5.698970004,0
BLK,ENSP00000259089,BLK_HUMAN,brivanib,5.698970004,0
MAP4K2,ENSP00000294066,M4K2_HUMAN,foretinib,5.698970004,0
HIPK4,ENSP00000291823,HIPK4_HUMAN,alvocidib,5.698970004,0
SRPK2,ENSP00000377262,SRPK2_HUMAN,sunitinib,5.698220133,0
EPHA7,ENSP00000358309,EPHA7_HUMAN,cediranib,5.697796419,0
EPHA6,ENSP00000374323,EPHA6_HUMAN,dovitinib,5.69743537,0
MAP2K1,ENSP00000302486,MP2K1_HUMAN,tozasertib,5.697114073,0
PRKCH,ENSP00000329127,KPCL_HUMAN,alvocidib,5.695986504,0
MKNK2,ENSP00000250896,MKNK2_HUMAN,barasertib,5.695304876000002,0
MAP2K1,ENSP00000302486,MP2K1_HUMAN,tivozanib,5.694725949,0
PLK3,ENSP00000361275,PLK3_HUMAN,axitinib,5.694316652,0
IRAK4,ENSP00000390651,IRAK4_HUMAN,nilotinib,5.694079335,0
NEK7,ENSP00000356355,NEK7_HUMAN,crizotinib,5.693965993,0
WEE1,ENSP00000402084,WEE1_HUMAN,dovitinib,5.693548894,0
PRKAA1,ENSP00000346148,AAPK1_HUMAN,bosutinib,5.691814764,0
MAPK8,ENSP00000378974,MK08_HUMAN,staurosporine,5.691038422999999,0
MARK2,ENSP00000385751,MARK2_HUMAN,cediranib,5.690837134,0
FGFR2,ENSP00000410294,FGFR2_HUMAN,linifanib,5.690453335,0
PKN1,ENSP00000343325,PKN1_HUMAN,bosutinib,5.690179495,0
MST1R,ENSP00000296474,RON_HUMAN,sunitinib,5.689959918,0
IRAK1,ENSP00000358997,IRAK1_HUMAN,axitinib,5.6898923360000015,0
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,barasertib,5.689208934,0
PRKAA2,ENSP00000360290,AAPK2_HUMAN,crizotinib,5.6886291710000005,0
STK36,ENSP00000295709,STK36_HUMAN,torin1,5.6886291710000005,0
TBK1,ENSP00000329967,TBK1_HUMAN,erlotinib,5.688496791,0
MAP2K6,ENSP00000468348,MP2K6_HUMAN,sorafenib,5.686016054,0
DYRK2,ENSP00000342105,DYRK2_HUMAN,crizotinib,5.685918602999999,0
PRKCE,ENSP00000306124,KPCE_HUMAN,bosutinib,5.685302515,0
FRK,ENSP00000476145,FRK_HUMAN,imatinib,5.684683865,0
IRAK1,ENSP00000358997,IRAK1_HUMAN,vandetanib,5.684497981,0
TSSK2,ENSP00000382544,TSSK2_HUMAN,dovitinib,5.683211657999999,0
LCK,ENSP00000337825,LCK_HUMAN,sorafenib,5.682239857000001,0
TEC,ENSP00000370912,TEC_HUMAN,staurosporine,5.6807497589999985,0
CSNK1E,ENSP00000380044,KC1E_HUMAN,dasatinib,5.6793159489999985,0
TXK,ENSP00000264316,TXK_HUMAN,vandetanib,5.677946717999999,0
ANKK1,ENSP00000306678,ANKK1_HUMAN,bosutinib,5.677780705,0
SRPK1,ENSP00000362931,SRPK1_HUMAN,ruxolitinib,5.677780705,0
RIPK4,ENSP00000332454,RIPK4_HUMAN,sunitinib,5.677780705,0
RIPK4,ENSP00000332454,RIPK4_HUMAN,ruxolitinib,5.677780705,0
DCLK1,ENSP00000255448,DCLK1_HUMAN,alvocidib,5.677780705,0
MAP3K12,ENSP00000448689,M3K12_HUMAN,dovitinib,5.677780705,0
MINK1,ENSP00000347427,MINK1_HUMAN,torin1,5.675086464,0
MAP3K2,ENSP00000387246,M3K2_HUMAN,cediranib,5.674009693,0
PRKCE,ENSP00000306124,KPCE_HUMAN,alvocidib,5.672176136,0
AURKA,ENSP00000216911,AURKA_HUMAN,erlotinib,5.672021265,0
NTRK1,ENSP00000431418,NTRK1_HUMAN,sorafenib,5.671661938,0
MKNK2,ENSP00000250896,MKNK2_HUMAN,erlotinib,5.6715422910000015,0
CAMKK2,ENSP00000312741,KKCC2_HUMAN,dovitinib,5.671538366,0
STK10,ENSP00000176763,STK10_HUMAN,barasertib,5.671227086,0
TNIK,ENSP00000399511,TNIK_HUMAN,cediranib,5.670149637000001,0
CSNK1G2,ENSP00000255641,KC1G2_HUMAN,staurosporine,5.670069755,0
FGR,ENSP00000363117,FGR_HUMAN,erlotinib,5.669812854,0
LRRK2,ENSP00000298910,LRRK2_HUMAN,nilotinib,5.668902325,0
PKN2,ENSP00000359552,PKN2_HUMAN,sunitinib,5.668830543,0
BTK,ENSP00000483570,BTK_HUMAN,vandetanib,5.667879561,0
FLT3,ENSP00000241453,FLT3_HUMAN,cediranib,5.667531928,0
EPHA6,ENSP00000374323,EPHA6_HUMAN,dasatinib,5.667484777,0
AXL,ENSP00000301178,UFO_HUMAN,fascaplysin,5.667247529,0
TSSK3,ENSP00000362634,TSSK3_HUMAN,cediranib,5.666803417000001,0
SIK1,ENSP00000270162,SIK1_HUMAN,sunitinib,5.666223832999999,0
BMX,ENSP00000350224,BMX_HUMAN,tozasertib,5.66525866,0
CSF1R,ENSP00000286301,CSF1R_HUMAN,vandetanib,5.663273632999999,0
EPHA7,ENSP00000358309,EPHA7_HUMAN,erlotinib,5.661249974,0
STK16,ENSP00000386928,STK16_HUMAN,torin1,5.658541347000001,0
MYLK2,ENSP00000365162,MYLK2_HUMAN,vemurafenib,5.658541347000001,0
MAPK15,ENSP00000337691,MK15_HUMAN,torin2,5.658541347000001,0
MAPK8,ENSP00000378974,MK08_HUMAN,vemurafenib,5.658541347000001,0
YES1,ENSP00000462468,YES_HUMAN,vemurafenib,5.658541347000001,0
STK35,ENSP00000370891,STK35_HUMAN,torin1,5.658541347000001,0
CAMK1G,ENSP00000009105,KCC1G_HUMAN,ruxolitinib,5.657577319,0
MELK,ENSP00000298048,MELK_HUMAN,ruxolitinib,5.657577319,0
RIOK1,ENSP00000369162,RIOK1_HUMAN,bosutinib,5.657577319,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,vandetanib,5.657577319,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,tozasertib,5.657577319,0
GRK1,ENSP00000334876,RK_HUMAN,dovitinib,5.657577319,0
BRAF,ENSP00000288602,BRAF_HUMAN,ruxolitinib,5.657577319,0
LTK,ENSP00000263800,LTK_HUMAN,alvocidib,5.657577319,0
DMPK,ENSP00000345997,DMPK_HUMAN,enzastaurin,5.657577319,0
STK33,ENSP00000416750,STK33_HUMAN,sorafenib,5.657429747,0
PRKCD,ENSP00000378217,KPCD_HUMAN,alvocidib,5.657355337,0
IKBKE,ENSP00000464030,IKKE_HUMAN,crizotinib,5.657206799,0
ALK,ENSP00000373700,ALK_HUMAN,erlotinib,5.65706095,0
EGFR,ENSP00000275493,EGFR_HUMAN,barasertib,5.656483531,0
DSTYK,ENSP00000356130,DUSTY_HUMAN,barasertib,5.65562458,0
AURKA,ENSP00000216911,AURKA_HUMAN,linifanib,5.653100914,0
MUSK,ENSP00000363571,MUSK_HUMAN,bosutinib,5.652293216,0
CSNK1E,ENSP00000380044,KC1E_HUMAN,gefitinib,5.652032174,0
PRKCG,ENSP00000263431,KPCG_HUMAN,nilotinib,5.651973683,0
LYN,ENSP00000428924,LYN_HUMAN,linifanib,5.6494850020000005,0
NEK11,ENSP00000372857,NEK11_HUMAN,bosutinib,5.647447467,0
PLK3,ENSP00000361275,PLK3_HUMAN,cediranib,5.64510029,0
PLK2,ENSP00000274289,PLK2_HUMAN,staurosporine,5.6447821010000006,0
PRKAA2,ENSP00000360290,AAPK2_HUMAN,cediranib,5.644422456,0
BTK,ENSP00000483570,BTK_HUMAN,dovitinib,5.641610872999999,0
MAP3K11,ENSP00000309597,M3K11_HUMAN,dasatinib,5.641047483,0
ERBB4,ENSP00000342235,ERBB4_HUMAN,nilotinib,5.64017015,0
CLK4,ENSP00000316948,CLK4_HUMAN,bosutinib,5.640054117999999,0
AURKC,ENSP00000302898,AURKC_HUMAN,bosutinib,5.63951834,0
MAP3K11,ENSP00000309597,M3K11_HUMAN,fascaplysin,5.639492059,0
PLK4,ENSP00000270861,PLK4_HUMAN,sorafenib,5.638284124,0
HIPK3,ENSP00000304226,HIPK3_HUMAN,linifanib,5.638272164,0
GRK4,ENSP00000381129,GRK4_HUMAN,axitinib,5.638272164,0
NEK5,ENSP00000347767,NEK5_HUMAN,dovitinib,5.638272164,0
MYLK2,ENSP00000365162,MYLK2_HUMAN,foretinib,5.638272164,0
MAP3K7,ENSP00000358335,M3K7_HUMAN,tozasertib,5.638272164,0
MAPK7,ENSP00000311005,MK07_HUMAN,bosutinib,5.638272164,0
IKBKB,ENSP00000430684,IKKB_HUMAN,ruxolitinib,5.638272164,0
NLK,ENSP00000384625,NLK_HUMAN,sorafenib,5.63413523,0
PKN2,ENSP00000359552,PKN2_HUMAN,axitinib,5.63380312,0
IRAK1,ENSP00000358997,IRAK1_HUMAN,alvocidib,5.63380312,0
EPHB3,ENSP00000332118,EPHB3_HUMAN,dovitinib,5.6337047060000005,0
TEK,ENSP00000369375,TIE2_HUMAN,torin1,5.629731418,0
HCK,ENSP00000444986,HCK_HUMAN,crizotinib,5.629731418,0
CDC42BPA,ENSP00000355731,MRCKA_HUMAN,cediranib,5.628889504,0
EPHA3,ENSP00000337451,EPHA3_HUMAN,sorafenib,5.6279664270000005,0
TNK2,ENSP00000371341,ACK1_HUMAN,nilotinib,5.625535462999999,0
FGFR3,ENSP00000339824,FGFR3_HUMAN,bosutinib,5.625504254,0
ALK,ENSP00000373700,ALK_HUMAN,dovitinib,5.623954799,0
MAPKAPK2,ENSP00000356070,MAPK2_HUMAN,axitinib,5.623402597999999,0
CAMK1G,ENSP00000009105,KCC1G_HUMAN,bosutinib,5.6227929639999985,0
MKNK2,ENSP00000250896,MKNK2_HUMAN,vandetanib,5.621866363,0
FGFR4,ENSP00000292408,FGFR4_HUMAN,dovitinib,5.621601827,0
FLT4,ENSP00000261937,VGFR3_HUMAN,tozasertib,5.621311735,0
NEK11,ENSP00000372857,NEK11_HUMAN,tozasertib,5.61979946,0
ULK3,ENSP00000400312,ULK3_HUMAN,ruxolitinib,5.619788757999999,0
CDK16,ENSP00000276052,CDK16_HUMAN,bosutinib,5.619788757999999,0
CIT,ENSP00000376306,CTRO_HUMAN,bosutinib,5.619788757999999,0
BRSK2,ENSP00000371614,BRSK2_HUMAN,saracatinib,5.619788757999999,0
PLK1,ENSP00000300093,PLK1_HUMAN,saracatinib,5.619788757999999,0
PRKCI,ENSP00000295797,KPCI_HUMAN,cediranib,5.618163309,0
IKBKB,ENSP00000430684,IKKB_HUMAN,nilotinib,5.617734491,0
DAPK2,ENSP00000261891,DAPK2_HUMAN,bosutinib,5.6166865360000005,0
CAMK2A,ENSP00000381412,KCC2A_HUMAN,dovitinib,5.616153092,0
PDK4,ENSP00000005178,PDK4_HUMAN,sorafenib,5.6157631960000005,0
WEE1,ENSP00000402084,WEE1_HUMAN,staurosporine,5.61463066,0
STK3,ENSP00000429744,STK3_HUMAN,axitinib,5.614096588,0
EPHB4,ENSP00000350896,EPHB4_HUMAN,cediranib,5.613180797,0
STK39,ENSP00000348278,STK39_HUMAN,fascaplysin,5.612116715,0
RET,ENSP00000347942,RET_HUMAN,crizotinib,5.611866447000001,0
PRKCA,ENSP00000408695,KPCA_HUMAN,lapatinib,5.611340284,0
MET,ENSP00000317272,MET_HUMAN,bosutinib,5.611046871,0
GSK3A,ENSP00000222330,GSK3A_HUMAN,alvocidib,5.610864681,0
ACVRL1,ENSP00000373574,ACVL1_HUMAN,vandetanib,5.610633295,0
MELK,ENSP00000298048,MELK_HUMAN,imatinib,5.609507626,0
TBK1,ENSP00000329967,TBK1_HUMAN,gefitinib,5.608569642999999,0
ACVR1B,ENSP00000442656,ACV1B_HUMAN,bosutinib,5.608527105,0
AURKB,ENSP00000313950,AURKB_HUMAN,bosutinib,5.607912204,0
FGFR3,ENSP00000339824,FGFR3_HUMAN,sorafenib,5.607802474,0
EPHA8,ENSP00000166244,EPHA8_HUMAN,imatinib,5.607795562000001,0
CDK7,ENSP00000256443,CDK7_HUMAN,gefitinib,5.6073350820000005,0
CSNK1A1,ENSP00000421689,KC1A_HUMAN,staurosporine,5.6069756910000015,0
AAK1,ENSP00000386456,AAK1_HUMAN,crizotinib,5.60683998,0
ROCK1,ENSP00000382697,ROCK1_HUMAN,sunitinib,5.606307297000001,0
EPHA8,ENSP00000166244,EPHA8_HUMAN,erlotinib,5.604192296,0
EPHB2,ENSP00000363763,EPHB2_HUMAN,sunitinib,5.603972709,0
MAPK4,ENSP00000383234,MK04_HUMAN,erlotinib,5.602059991,0
MAP4K1,ENSP00000465039,M4K1_HUMAN,vemurafenib,5.602059991,0
ERN1,ENSP00000401445,ERN1_HUMAN,ruxolitinib,5.602059991,0
RIPK1,ENSP00000259808,RIPK1_HUMAN,axitinib,5.602059991,0
PRPF4B,ENSP00000337194,PRP4B_HUMAN,tozasertib,5.602059991,0
RIOK1,ENSP00000369162,RIOK1_HUMAN,ruxolitinib,5.602059991,0
STK16,ENSP00000386928,STK16_HUMAN,enzastaurin,5.602059991,0
SIK1,ENSP00000270162,SIK1_HUMAN,tozasertib,5.602059991,0
MARK2,ENSP00000385751,MARK2_HUMAN,crizotinib,5.602059991,0
DDR1,ENSP00000427552,DDR1_HUMAN,dovitinib,5.602059991,0
SLK,ENSP00000358770,SLK_HUMAN,fascaplysin,5.6015026820000005,0
PAK4,ENSP00000469413,PAK4_HUMAN,sunitinib,5.599799469,0
SRPK1,ENSP00000362931,SRPK1_HUMAN,crizotinib,5.599492933,0
BLK,ENSP00000259089,BLK_HUMAN,linifanib,5.599485002000001,0
SGK1,ENSP00000356832,SGK1_HUMAN,dovitinib,5.598970004,0
TEK,ENSP00000369375,TIE2_HUMAN,fascaplysin,5.598930219,0
ROS1,ENSP00000357494,ROS1_HUMAN,sunitinib,5.598219581,0
EPHB4,ENSP00000350896,EPHB4_HUMAN,sunitinib,5.597492935,0
HIPK3,ENSP00000304226,HIPK3_HUMAN,staurosporine,5.597412699,0
PRKCA,ENSP00000408695,KPCA_HUMAN,nilotinib,5.595563489,0
HIPK4,ENSP00000291823,HIPK4_HUMAN,axitinib,5.595153037999999,0
ULK3,ENSP00000400312,ULK3_HUMAN,crizotinib,5.594718682000001,0
MINK1,ENSP00000347427,MINK1_HUMAN,tivozanib,5.593273722999999,0
PHKG2,ENSP00000455607,PHKG2_HUMAN,alvocidib,5.591391336,0
NEK2,ENSP00000355966,NEK2_HUMAN,cediranib,5.590812287,0
EPHA2,ENSP00000351209,EPHA2_HUMAN,sorafenib,5.589807368,0
EPHA6,ENSP00000374323,EPHA6_HUMAN,axitinib,5.5889153060000005,0
CHUK,ENSP00000359424,IKKA_HUMAN,dovitinib,5.588092372999999,0
SRPK1,ENSP00000362931,SRPK1_HUMAN,linifanib,5.587860357,0
PRKAA1,ENSP00000346148,AAPK1_HUMAN,tozasertib,5.587268787,0
CDC42BPA,ENSP00000355731,MRCKA_HUMAN,vandetanib,5.58649403,0
PRKCA,ENSP00000408695,KPCA_HUMAN,dovitinib,5.586266348,0
HIPK1,ENSP00000358571,HIPK1_HUMAN,bosutinib,5.586137354,0
TSSK2,ENSP00000382544,TSSK2_HUMAN,tozasertib,5.585768065,0
MAP2K3,ENSP00000345083,MP2K3_HUMAN,bosutinib,5.585026652000001,0
CDK7,ENSP00000256443,CDK7_HUMAN,enzastaurin,5.585026652000001,0
MAP2K6,ENSP00000468348,MP2K6_HUMAN,tozasertib,5.585026652000001,0
MAK,ENSP00000346484,MAK_HUMAN,staurosporine,5.585026652000001,0
CSNK1A1L,ENSP00000369126,KC1AL_HUMAN,bosutinib,5.585026652000001,0
MAP2K4,ENSP00000410402,MP2K4_HUMAN,bosutinib,5.585026652000001,0
MINK1,ENSP00000347427,MINK1_HUMAN,foretinib,5.585026652000001,0
EPHB3,ENSP00000332118,EPHB3_HUMAN,gefitinib,5.584700226,0
TSSK2,ENSP00000382544,TSSK2_HUMAN,bosutinib,5.584546264,0
WNK2,ENSP00000297954,WNK2_HUMAN,dasatinib,5.584073626,0
NEK2,ENSP00000355966,NEK2_HUMAN,sunitinib,5.582637379,0
GRK4,ENSP00000381129,GRK4_HUMAN,crizotinib,5.582560563,0
IRAK4,ENSP00000390651,IRAK4_HUMAN,crizotinib,5.581089951,0
ABL1,ENSP00000361423,ABL1_HUMAN,barasertib,5.581004209,0
EPHB3,ENSP00000332118,EPHB3_HUMAN,erlotinib,5.580541593,0
HCK,ENSP00000444986,HCK_HUMAN,erlotinib,5.580411302999999,0
EPHB1,ENSP00000381097,EPHB1_HUMAN,dovitinib,5.579091659,0
EPHB4,ENSP00000350896,EPHB4_HUMAN,sorafenib,5.577799861,0
MERTK,ENSP00000295408,MERTK_HUMAN,dovitinib,5.577582027,0
OXSR1,ENSP00000311713,OXSR1_HUMAN,sunitinib,5.5758479539999986,0
ALK,ENSP00000373700,ALK_HUMAN,vandetanib,5.575800377,0
FGFR4,ENSP00000292408,FGFR4_HUMAN,torin1,5.575407797,0
TAOK3,ENSP00000376317,TAOK3_HUMAN,dovitinib,5.575391912000001,0
EPHA5,ENSP00000480763,EPHA5_HUMAN,sorafenib,5.575171745,0
IKBKE,ENSP00000464030,IKKE_HUMAN,tozasertib,5.574849241,0
PIM3,ENSP00000353824,PIM3_HUMAN,sunitinib,5.574019404,0
MERTK,ENSP00000295408,MERTK_HUMAN,sorafenib,5.573591521,0
PRKD3,ENSP00000368356,KPCD3_HUMAN,dovitinib,5.573300851,0
MET,ENSP00000317272,MET_HUMAN,axitinib,5.571248795,0
YES1,ENSP00000462468,YES_HUMAN,erlotinib,5.570859198,0
MKNK2,ENSP00000250896,MKNK2_HUMAN,alvocidib,5.5703154810000015,0
CSNK2A2,ENSP00000262506,CSK22_HUMAN,tozasertib,5.570314203,0
BRAF,ENSP00000288602,BRAF_HUMAN,tivozanib,5.57024772,0
GAK,ENSP00000314499,GAK_HUMAN,axitinib,5.5686362360000015,0
OXSR1,ENSP00000311713,OXSR1_HUMAN,ruxolitinib,5.5686362360000015,0
CDKL5,ENSP00000369325,CDKL5_HUMAN,foretinib,5.5686362360000015,0
AAK1,ENSP00000386456,AAK1_HUMAN,enzastaurin,5.5686362360000015,0
HCK,ENSP00000444986,HCK_HUMAN,brivanib,5.5686362360000015,0
NTRK1,ENSP00000431418,NTRK1_HUMAN,barasertib,5.5684535,0
BRSK2,ENSP00000371614,BRSK2_HUMAN,dovitinib,5.567692454,0
MAP3K9,ENSP00000451263,M3K9_HUMAN,sunitinib,5.566700121,0
MYLK,ENSP00000353452,MYLK_HUMAN,dovitinib,5.566168482999999,0
MARK1,ENSP00000483424,MARK1_HUMAN,fascaplysin,5.5661508710000005,0
MYO3B,ENSP00000386213,MYO3B_HUMAN,sunitinib,5.565846402999999,0
MET,ENSP00000317272,MET_HUMAN,erlotinib,5.564806965,0
EPHB2,ENSP00000363763,EPHB2_HUMAN,sorafenib,5.56365128,0
ALK,ENSP00000373700,ALK_HUMAN,linifanib,5.56357668,0
MINK1,ENSP00000347427,MINK1_HUMAN,vandetanib,5.563171101,0
TNIK,ENSP00000399511,TNIK_HUMAN,vandetanib,5.561826574,0
PDK1,ENSP00000376352,PDK1_HUMAN,nilotinib,5.560036524,0
LTK,ENSP00000263800,LTK_HUMAN,barasertib,5.5594430710000005,0
FGFR3,ENSP00000339824,FGFR3_HUMAN,crizotinib,5.559154079,0
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,vandetanib,5.557299221,0
